"case","h","rmse","rmse_rw","ratio"
"AR",1,0.27373956421279,0.308196793737798,0.888197313453162
"AR",3,0.32056040378738,0.415134938058292,0.772183630909831
"AR",6,0.320628297654733,0.414729024113791,0.773103108324441
"AR",12,0.322126791267288,0.438421910060097,0.734741544333706
"Factor",1,0.272232167719716,0.308196793737798,0.883306294066513
"Factor",3,0.324386634759298,0.415134938058292,0.781400467704669
"Factor",6,0.331553008325391,0.414729024113791,0.799444912334907
"Factor",12,0.340182650748234,0.438421910060097,0.77592529693966
"ARDI",1,0.268184284200064,0.308196793737798,0.870172207009476
"ARDI",3,0.315374172177456,0.415134938058292,0.759690749356229
"ARDI",6,0.323624052796375,0.414729024113791,0.780326511962618
"ARDI",12,0.319694092315726,0.438421910060097,0.729192782066717
