"h","model","RMSE","ratio_RW","flag"
1,"ElNET",0.2564,0.8318,"best"
1,"LASSO",0.2565,0.8323,"best"
1,"Bagging",0.2871,0.9317,"worst"
3,"ElNET",0.31,0.7468,"best"
3,"LASSO",0.3116,0.7506,"best"
3,"Bagging",0.3721,0.8962,"worst"
6,"RF",0.3125,0.7535,"best"
6,"LASSO",0.3213,0.7748,"best"
6,"Bagging",0.3975,0.9585,"worst"
12,"ElNET",0.3154,0.7193,"best"
12,"LASSO",0.3191,0.7278,"best"
12,"Bagging",0.4434,1.0113,"worst"
