"model","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12"
"RW",1,1,1,1,1,1,1,1,1,1,1,1
"Ridge",0.9047,0.8222,0.7976,0.8261,0.8056,0.8023,0.8241,0.8374,0.8257,0.913,0.8937,0.7903
"LASSO",0.8323,0.7486,0.7506,0.7786,0.7765,0.7748,0.7864,0.7622,0.7505,0.8158,0.8206,0.7278
"ElNET",0.8318,0.7459,0.7468,0.7757,0.7814,0.7762,0.7892,0.7754,0.7593,0.8158,0.8169,0.7193
"AdaLASSO",0.8616,0.7947,0.7802,0.8034,0.8047,0.7984,0.8034,0.7995,0.7829,0.8474,0.8463,0.7542
"AdaElNET",0.8777,0.7916,0.7869,0.8039,0.8097,0.7949,0.7998,0.7993,0.7842,0.8528,0.8402,0.7471
"RF",0.8816,0.7728,0.7554,0.7879,0.7662,0.7535,0.767,0.7537,0.7403,0.7905,0.8188,0.7739
"Bagging",0.9317,0.9848,0.8962,1.0191,1.0353,0.9585,0.8866,1.1088,1.0674,1.1416,1.3099,1.0113
"Factor",0.8837,0.8176,0.8486,0.8204,0.8066,0.8351,0.8622,0.8722,0.8242,0.8528,0.8459,0.8107
"T.Factor",0.8735,0.7906,0.7953,0.7982,0.7754,0.7888,0.8272,0.8363,0.769,0.8238,0.8254,0.786
"CSR",0.8473,0.76,0.7666,0.804,0.8118,0.8135,0.8238,0.8062,0.797,0.8515,0.848,0.7717
"AR",0.9048,0.8047,0.7907,0.8029,0.7921,0.7934,0.7945,0.7737,0.7672,0.8099,0.8136,0.7309
"AR_BIC",0.9102,0.8064,0.7945,0.8081,0.7968,0.7969,0.7972,0.7774,0.7674,0.8104,0.8251,0.7355
"2SRR-AR",0.8882,NA,0.7722,NA,NA,0.7731,NA,NA,NA,NA,NA,0.7347
"2SRR-Factor",0.8833,NA,0.7814,NA,NA,0.7994,NA,NA,NA,NA,NA,0.7759
"2SRR-ARDI",0.8702,NA,0.7597,NA,NA,0.7803,NA,NA,NA,NA,NA,0.7292
"RidgeStep1_AR",0.9254,NA,0.8031,NA,NA,0.8082,NA,NA,NA,NA,NA,0.7688
"RidgeStep1_Factor",0.9356,NA,0.8043,NA,NA,0.8142,NA,NA,NA,NA,NA,0.7871
"RidgeStep1_ARDI",0.9338,NA,0.8531,NA,NA,0.8269,NA,NA,NA,NA,NA,0.7961
