"case","h","cor_l1_l4","mean_l1","mean_l4","mean_ratio"
"AR",1,0.612850356658186,147371.1633373,145168.212371756,63.5912458634248
"AR",3,0.74317001411867,127190.970999489,133255.598350313,8644.99093563702
"AR",6,0.809450608525384,128219.748492651,132324.901286478,7895.23864004887
"AR",12,0.715959113445676,120404.414344035,110251.601377961,3096.17323655476
"Factor",1,0.0609089780131858,158285.747733499,140661.831386456,0.983097686452308
"Factor",3,0.546687717202886,150883.947222411,141083.074401111,0.957187786741024
"Factor",6,0.828919686475164,127592.720096203,117536.425471607,0.9044466908113
"Factor",12,0.906782250820413,119130.784825167,116642.817043766,1.0664797625502
"ARDI",1,0.746924477609549,157027.808339244,155811.480495848,0.999577159115151
"ARDI",3,0.753853257155156,156603.388456938,152061.33645412,0.984300636917151
"ARDI",6,0.36814766133955,158603.883346903,153833.271586955,26.9422948756486
"ARDI",12,0.537799720557037,120039.00112967,97737.8565482389,7.12124945336822
