"case","h","HHI_mean","HHI_sd","near_zero_mean","sigma2_u_mean"
"AR",1,0.8151,0.1003,0.0267,1
"AR",3,0.4866,0.1626,0.0139,1
"AR",6,0.4977,0.183,0.015,1
"AR",12,0.7158,0.2295,0.0801,1
"Factor",1,0.9097,0.0484,0.5986,1
"Factor",3,0.9713,0.0102,0.6065,1
"Factor",6,0.9793,0.0078,0.7301,1
"Factor",12,0.9793,0.0101,0.7044,1
"ARDI",1,0.6185,0.1572,0.4837,1
"ARDI",3,0.5693,0.22,0.5463,1
"ARDI",6,0.6089,0.1412,0.6203,1
"ARDI",12,0.5677,0.1459,0.6052,1
