"series","mean","sd"
"realized",0.211797294098273,0.301034053598395
"rw_h1",0.210983600290059,0.301262979960835
"rw_h3",0.212473165868347,0.302399971125817
"rw_h6",0.211058602926291,0.302348995882983
"rw_h12",0.20955810967046,0.302394628113376
