"case","h","RMSE_2SRR","RMSE_RidgeStep1","RMSE_RidgeMed","ratio_vs_Step1","DM_stat_vs_Step1","DM_p_vs_Step1","DM_p_vs_MedRidge"
"AR",1,0.2737,0.2852,0.2788,0.9598,-1.926,0.0275,0.077
"AR",3,0.3206,0.3334,0.3311,0.9615,-1.295,0.0981,0.5821
"AR",6,0.3206,0.3352,0.3327,0.9566,-0.715,0.2375,0.6992
"AR",12,0.3221,0.3371,0.3465,0.9556,-1.184,0.1186,0.1645
"Factor",1,0.2722,0.2883,0.2788,0.9441,-1.839,0.0335,0.1262
"Factor",3,0.3244,0.3339,0.3311,0.9716,-1.648,0.0502,0.219
"Factor",6,0.3316,0.3377,0.3327,0.9818,-1.301,0.0972,0.882
"Factor",12,0.3402,0.3451,0.3465,0.9858,-0.777,0.2188,0.9028
"ARDI",1,0.2682,0.2878,0.2788,0.9319,-1.633,0.0518,0.0988
"ARDI",3,0.3154,0.3541,0.3311,0.8905,-1.178,0.1199,0.1038
"ARDI",6,0.3236,0.3429,0.3327,0.9437,-1.227,0.1104,0.4291
"ARDI",12,0.3197,0.349,0.3465,0.916,-1.176,0.1203,0.2884
