"case","h","period","n_obs","RMSE_2SRR","RMSE_RW","ratio_vs_RW"
"AR",1,"Pre-GFC",98,0.2865,0.3307,0.8664
"AR",1,"GFC",22,0.5102,0.5429,0.9396
"AR",1,"Post-GFC/Pre-COVID",128,0.1883,0.2235,0.8426
"AR",1,"COVID",16,0.3019,0.298,1.0132
"AR",1,"High Inflation",24,0.3712,0.4164,0.8916
"AR",1,"Post-Inflation",24,0.1118,0.1376,0.8127
"AR",3,"Pre-GFC",98,0.3087,0.4169,0.7404
"AR",3,"GFC",22,0.6662,0.8674,0.768
"AR",3,"Post-GFC/Pre-COVID",128,0.2116,0.2844,0.744
"AR",3,"COVID",16,0.4178,0.5574,0.7495
"AR",3,"High Inflation",24,0.4053,0.3898,1.0398
"AR",3,"Post-Inflation",24,0.1435,0.2251,0.6375
"AR",6,"Pre-GFC",98,0.2863,0.3748,0.7638
"AR",6,"GFC",22,0.7111,0.9402,0.7564
"AR",6,"Post-GFC/Pre-COVID",128,0.212,0.2801,0.7568
"AR",6,"COVID",16,0.4081,0.507,0.8048
"AR",6,"High Inflation",24,0.4138,0.4768,0.868
"AR",6,"Post-Inflation",24,0.1275,0.1869,0.6823
"AR",12,"Pre-GFC",98,0.301,0.4076,0.7385
"AR",12,"GFC",22,0.6254,0.7663,0.8162
"AR",12,"Post-GFC/Pre-COVID",128,0.2287,0.3657,0.6255
"AR",12,"COVID",16,0.3943,0.6275,0.6283
"AR",12,"High Inflation",24,0.469,0.5058,0.9271
"AR",12,"Post-Inflation",24,0.133,0.2241,0.5936
"Factor",1,"Pre-GFC",98,0.2739,0.3307,0.8281
"Factor",1,"GFC",22,0.4796,0.5429,0.8833
"Factor",1,"Post-GFC/Pre-COVID",128,0.1929,0.2235,0.8629
"Factor",1,"COVID",16,0.3752,0.298,1.2593
"Factor",1,"High Inflation",24,0.3721,0.4164,0.8937
"Factor",1,"Post-Inflation",24,0.1248,0.1376,0.907
"Factor",3,"Pre-GFC",98,0.2947,0.4169,0.707
"Factor",3,"GFC",22,0.6796,0.8674,0.7835
"Factor",3,"Post-GFC/Pre-COVID",128,0.2087,0.2844,0.7339
"Factor",3,"COVID",16,0.5116,0.5574,0.9179
"Factor",3,"High Inflation",24,0.4017,0.3898,1.0307
"Factor",3,"Post-Inflation",24,0.1471,0.2251,0.6535
"Factor",6,"Pre-GFC",98,0.2915,0.3748,0.7777
"Factor",6,"GFC",22,0.7439,0.9402,0.7913
"Factor",6,"Post-GFC/Pre-COVID",128,0.2142,0.2801,0.7646
"Factor",6,"COVID",16,0.4603,0.507,0.9079
"Factor",6,"High Inflation",24,0.4092,0.4768,0.8583
"Factor",6,"Post-Inflation",24,0.1463,0.1869,0.7829
"Factor",12,"Pre-GFC",98,0.3138,0.4076,0.7699
"Factor",12,"GFC",22,0.6658,0.7663,0.8689
"Factor",12,"Post-GFC/Pre-COVID",128,0.2408,0.3657,0.6586
"Factor",12,"COVID",16,0.5041,0.6275,0.8034
"Factor",12,"High Inflation",24,0.4462,0.5058,0.8821
"Factor",12,"Post-Inflation",24,0.1339,0.2241,0.5977
"ARDI",1,"Pre-GFC",98,0.263,0.3307,0.7951
"ARDI",1,"GFC",22,0.4785,0.5429,0.8813
"ARDI",1,"Post-GFC/Pre-COVID",128,0.1901,0.2235,0.8507
"ARDI",1,"COVID",16,0.3609,0.298,1.2111
"ARDI",1,"High Inflation",24,0.3811,0.4164,0.9152
"ARDI",1,"Post-Inflation",24,0.1339,0.1376,0.973
"ARDI",3,"Pre-GFC",98,0.2813,0.4169,0.6747
"ARDI",3,"GFC",22,0.6273,0.8674,0.7232
"ARDI",3,"Post-GFC/Pre-COVID",128,0.2104,0.2844,0.7398
"ARDI",3,"COVID",16,0.511,0.5574,0.9168
"ARDI",3,"High Inflation",24,0.4188,0.3898,1.0745
"ARDI",3,"Post-Inflation",24,0.1539,0.2251,0.6836
"ARDI",6,"Pre-GFC",98,0.2845,0.3748,0.7591
"ARDI",6,"GFC",22,0.6984,0.9402,0.7429
"ARDI",6,"Post-GFC/Pre-COVID",128,0.2072,0.2801,0.7399
"ARDI",6,"COVID",16,0.4698,0.507,0.9265
"ARDI",6,"High Inflation",24,0.4323,0.4768,0.9067
"ARDI",6,"Post-Inflation",24,0.1439,0.1869,0.7698
"ARDI",12,"Pre-GFC",98,0.2854,0.4076,0.7001
"ARDI",12,"GFC",22,0.6194,0.7663,0.8082
"ARDI",12,"Post-GFC/Pre-COVID",128,0.2104,0.3657,0.5753
"ARDI",12,"COVID",16,0.5153,0.6275,0.8211
"ARDI",12,"High Inflation",24,0.4532,0.5058,0.8959
"ARDI",12,"Post-Inflation",24,0.1611,0.2241,0.719
