"var","mean","sd","cv","min","max","sign_changes"
"Yh_L1",-0.222816169130199,0.135093895143208,0.606302027678559,-0.460960695634944,-0.00813873994581453,0
"Yh_L2",-0.0203923411371426,0.064876546780177,3.18141729504569,-0.156222681510346,0.117582172198381,11
"F2_L1",3.92598716448818e-05,0.0560979288796121,1428.88722069792,-0.0749294784887908,0.0745429040953565,157
"F3_L1",-0.00286406336538154,0.0383112075739516,13.3765223343262,-0.0758604240244781,0.0759630506559498,155
"intercept",0.354812041271506,0.0259490391561155,0.0731346068840404,0.308525007279737,0.434620523653593,0
"F3_L2",0.00115912636099462,0.017862735280997,15.4105159558872,-0.0303395422706879,0.0324605910894288,159
"F1_L1",-0.00116438033330402,0.0161084771999077,13.834377599112,-0.0259427284985852,0.0231035350658893,157
"F4_L1",0.0014969999343948,0.016023741000893,10.7039022732964,-0.0245776204056712,0.0246503343280318,157
"F2_L2",-0.000447908090174318,0.0109745629052916,24.5018188910598,-0.0293767867725571,0.0298165503391478,155
"F1_L2",1.14130773308446e-05,0.00831248029116735,728.329446143532,-0.0197456390110908,0.0195572284329486,158
"F4_L2",-0.00039830749027748,0.00781637472416404,19.6239712156022,-0.0151604369453501,0.0134170458328258,150
