"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.302410783851064,0.0553743664348317,0.183109761264676,0.213565365579364,0.366805673050445,0
"F2_L3",-0.000330861636786036,0.0221300783362078,66.8862021936953,-0.0340749213279262,0.0337800169589431,155
"F2_L4",0.000192691318869968,0.0158651207377911,82.3343824248631,-0.0240132821252869,0.0236606602226853,153
"F3_L3",0.000282953760063432,0.0121851478296921,43.0640957977037,-0.0270748565894024,0.0278399934880116,154
"F3_L4",-0.000232537224066196,0.0112464803324976,48.3642151387173,-0.0169415602693837,0.0172593208847525,156
"F1_L3",-0.000288971214182426,0.0107878454464026,37.3319033763421,-0.0197570553694823,0.0195074839562251,157
"F4_L4",-0.000233251194915821,0.007152828721502,30.6657752560856,-0.0158207444454855,0.015689164032523,160
"F4_L3",0.000285652901434493,0.00646079405255944,22.6176384700264,-0.0189173443028342,0.0174424582801074,159
"F1_L4",2.42846717098295e-05,0.00643377775291488,264.931633821952,-0.0109341794896008,0.0112115365952329,155
