"model","h1","h3","h6","h12"
"RW",1,1,1,1
"Ridge",0.9047,0.7976,0.8023,0.7903
"LASSO",0.8323,0.7506,0.7748,0.7278
"ElNET",0.8318,0.7468,0.7762,0.7193
"AdaLASSO",0.8616,0.7802,0.7984,0.7542
"AdaElNET",0.8777,0.7869,0.7949,0.7471
"RF",0.8816,0.7554,0.7535,0.7739
"Bagging",0.9317,0.8962,0.9585,1.0113
"Factor",0.8837,0.8486,0.8351,0.8107
"T.Factor",0.8735,0.7953,0.7888,0.786
"CSR",0.8473,0.7666,0.8135,0.7717
"AR",0.9048,0.7907,0.7934,0.7309
"AR_BIC",0.9102,0.7945,0.7969,0.7355
"2SRR-AR",0.8882,0.7722,0.7731,0.7347
"2SRR-Factor",0.8833,0.7814,0.7994,0.7759
"2SRR-ARDI",0.8702,0.7597,0.7803,0.7292
"RidgeStep1_AR",0.9254,0.8031,0.8082,0.7688
"RidgeStep1_Factor",0.9356,0.8043,0.8142,0.7871
"RidgeStep1_ARDI",0.9338,0.8531,0.8269,0.7961
