"var","mean","sd","cv","min","max","sign_changes"
"F2_L4",0.0527256740708169,0.0434773250126406,0.824594958316612,-0.0807298603527326,0.0835610800029649,5
"F2_L3",0.0509151671434511,0.0419161344783764,0.82325438233915,-0.075823856622732,0.0923631408436272,5
"intercept",0.901545548064036,0.0394002427201036,0.0437029973745763,0.819901907292121,0.968619364872645,0
"F1_L3",0.00289725502195889,0.0207930401643583,7.17680701448909,-0.0393453817526283,0.0232264719312033,6
"F1_L4",0.00684252563352918,0.0190025336178946,2.77712275198209,-0.0323979032446975,0.0306165344173767,6
"F4_L4",0.0084250994217329,0.011622527612393,1.37951222064065,-0.0105683950099667,0.0408035211607591,7
"F3_L4",0.00603653291865636,0.0112629671919115,1.86580067460619,-0.015165019796533,0.0365212218514044,15
"F4_L3",0.0042612237014828,0.0112214648908956,2.63339023646912,-0.0151382751887918,0.0341317024860369,11
"F3_L3",0.00262021087719617,0.00849719477120138,3.24294309482985,-0.00635100048566886,0.0213872768997181,6
