"var","mean","sd","cv","min","max","sign_changes"
"Yh_L2",0.0648966180708655,0.0782481216211878,1.20573496658551,-0.146172132977136,0.134232130807929,3
"F2_L1",0.0463222672611362,0.0357774824144472,0.772360346974297,-0.0659147638885981,0.0639558275047668,5
"Yh_L1",-0.111169806885961,0.0282640230609232,0.254241901219787,-0.17467425895881,-0.037809531603637,0
"intercept",0.319118706114021,0.0181356072909035,0.0568302858574001,0.281364566603753,0.371899313182245,0
"F4_L1",0.00390715334189964,0.0148340745688429,3.79664509446427,-0.0212461848604058,0.0199115848731036,6
"F3_L1",-0.0227796039981363,0.0147573314725817,0.647830904952915,-0.035567634187814,0.0247851114704801,5
"F3_L2",0.0156737520791837,0.0105607556886011,0.673786061898148,-0.0168468449225085,0.0260170490798175,5
"F1_L1",-0.000628870219403486,0.0096875853302369,15.4047449399433,-0.0215423867373638,0.0127913806990999,6
"F4_L2",-0.00205356151069288,0.00878018108116747,4.27558708879628,-0.0105567058424743,0.0109499776730702,6
"F1_L2",0.00193580314370981,0.0060696982595305,3.1354935439863,-0.00840915768004743,0.00807571710396492,6
"F2_L2",0.00141688386136422,0.00566797186405892,4.00030801296701,-0.00447597392843337,0.0178312017454234,6
