"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.775432431651038,0.0935157600435368,0.120598205886778,0.707186308008399,1.31168771779307,0
"Yh_L7",0.800519011788581,0.0779490231785993,0.0973731067353911,0.444259872981625,0.894255082444419,0
"F2_L6",0.0627072446575702,0.0491056938922925,0.783094428091161,-0.0894402634633382,0.102475965610249,5
"F1_L6",0.0134954793525708,0.0450381528659769,3.33727700138323,-0.0599772964067838,0.0583509321259157,6
"Yh_L6",-0.235564914965452,0.0447751108417362,0.190075465390518,-0.335545963296123,-0.102168473881657,0
"F1_L7",0.00474561932723609,0.0238738413169187,5.03071141418819,-0.0303540666237226,0.0274355512236165,6
"F3_L7",0.0233116130384339,0.0164151003859507,0.704159783318601,-0.0159151471620439,0.0498816487387033,5
"F4_L7",-0.000910633469131816,0.0129444256858173,14.2147484411685,-0.0136722967043227,0.0431399547992373,8
"F2_L7",0.0159577561917013,0.0127342117035626,0.797995128549769,-0.0109258870153445,0.0505752454378361,5
"F3_L6",0.00690058220585237,0.0080504754344477,1.16663713209881,-0.0195258409207107,0.0247911478435343,7
"F4_L6",-0.00460961006820845,0.00618163174992026,1.34103137975894,-0.0123259170802284,0.0166936972659737,10
