"var","mean","sd","cv","min","max","sign_changes"
"intercept",1.52524801233295,0.395818897740216,0.259511170996243,1.10925541980549,3.31326547320016,0
"Yh_L13",0.483059195500229,0.14007192830274,0.289968454399652,0.140948783356114,0.716101541479328,0
"F1_L13",0.0236133288407034,0.0763680097461696,3.23410605346463,-0.100624756977465,0.0975170245131903,6
"Yh_L12",-0.0191128162298965,0.0740392887960854,3.87380320647213,-0.139168199393339,0.233878701219529,11
"F3_L13",0.0747001917663628,0.0561789678574253,0.752059218711705,-0.128879776354391,0.134852883183314,5
"F1_L12",0.0207981230106734,0.0496112547667244,2.3853717348082,-0.0815584350453258,0.0670269651872466,6
"F4_L13",0.0202567085643933,0.023492733649793,1.15975078454196,-0.0231202475515395,0.0884985243812759,8
"F2_L12",0.0241615191493577,0.0228630429155182,0.946258501967002,-0.0454845552469686,0.0845639159708043,5
"F2_L13",0.0111467939376498,0.020357919846807,1.82634755434434,-0.0173115136531397,0.0813385049998868,18
"F3_L12",0.0183024125359922,0.0180131206316545,0.984193782990696,-0.0378268160254714,0.0528549124059531,5
"F4_L12",0.000436788915702918,0.00826414275297455,18.9202208569675,-0.0328728052257956,0.0304488146412251,22
