"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.869123825767194,0.0392783422683759,0.045193033609111,0.8040004220747,0.939629114546275,0
"F2_L4",0.0419724791020172,0.0321608180713322,0.766235846902513,-0.0559857498267574,0.085198563246677,5
"F2_L3",0.0410260575592856,0.0310040456256799,0.755715939336282,-0.0528467990324912,0.0872823777774618,5
"F1_L3",0.00314007045624495,0.0201321932523446,6.41138265299298,-0.0371071752713797,0.02183847714821,6
"F1_L4",0.00700823105755265,0.0180811953683666,2.5799941839647,-0.0269266165269756,0.0275604384260642,6
"F4_L4",0.0093833790888038,0.0110900553673525,1.18188290832086,-0.0101363824842954,0.0361009154178866,7
"F4_L3",0.00535848329588985,0.0102915738285848,1.92061321465327,-0.0211855341177297,0.0344873991724066,17
"F3_L4",0.00696974469141513,0.00953897443650652,1.36862609160648,-0.0139891341735069,0.0321944005105164,13
"F3_L3",0.003329639193364,0.00757106137890447,2.27383837684085,-0.00604463581805557,0.0195756810961695,10
