"case","h","rmse","rmse_rw","ratio"
"AR",1,0.222192539955805,0.251705475127504,0.882748139837845
"AR",3,0.560713479366011,0.776417154940104,0.7221806934563
"AR",6,0.904739337777246,1.47033934501383,0.615326890928525
"AR",12,1.92730683368038,2.95698722183127,0.651780575665389
"Factor",1,0.238547709751136,0.251705475127504,0.94772554959441
"Factor",3,0.631356412419634,0.776417154940104,0.813166489692438
"Factor",6,1.05872703225578,1.47033934501383,0.720056248134895
"Factor",12,1.82435366169874,2.95698722183127,0.616963660928138
"FAVAR",1,0.237483766368066,0.251705475127504,0.943498611811148
"FAVAR",3,0.589347345606909,0.776417154940104,0.759060180287199
"FAVAR",6,0.958122966140119,1.47033934501383,0.65163390300972
"FAVAR",12,1.94813631375063,2.95698722183127,0.65882473193244
