"case","h","RMSE_2SRR","RMSE_RidgeStep1","RMSE_RidgeMed","ratio_vs_Step1","DM_stat_vs_Step1","DM_p_vs_Step1","DM_p_vs_MedRidge"
"AR",1,0.2222,0.2289,0.3201,0.9708,-0.131,0.4478,0.0793
"AR",3,0.5607,0.5816,0.8532,0.9641,-1.045,0.1488,0.1587
"AR",6,0.9047,0.9328,1.3219,0.9699,-0.193,0.4234,0.1487
"AR",12,1.9273,1.8877,2.9081,1.021,0.803,0.7884,0.1333
"Factor",1,0.2385,0.2341,0.3201,1.0189,0.992,0.8388,0.0717
"Factor",3,0.6314,0.6129,0.8532,1.0301,0.005,0.502,0.1632
"Factor",6,1.0587,1.0236,1.3219,1.0343,-0.767,0.2222,0.1513
"Factor",12,1.8244,1.7592,2.9081,1.037,-0.562,0.2875,0.1302
"FAVAR",1,0.2375,0.2324,0.3201,1.0218,0.966,0.8324,0.0716
"FAVAR",3,0.5893,0.5877,0.8532,1.0028,-0.99,0.1618,0.1629
"FAVAR",6,0.9581,0.983,1.3219,0.9747,-0.924,0.1783,0.1514
"FAVAR",12,1.9481,2.017,2.9081,0.9659,-0.936,0.1752,0.1306
