"var","mean","sd","cv","min","max","sign_changes"
"F2_L1",0.0381235936295038,0.028688394407993,0.752510235178645,-0.0514486803510306,0.0496757303861305,5
"F3_L1",-0.0195403616228707,0.013101854859993,0.670502169451058,-0.0327900512607735,0.0205843527619386,5
"F4_L1",0.00320574657741396,0.0129162485115582,4.02909219417387,-0.0179305789729597,0.0157082231987144,6
"intercept",0.297213575791968,0.0119905341637991,0.0403431577169669,0.277928951295341,0.320505026648439,0
"F3_L2",0.0148137965341911,0.0103338442050702,0.697582431432692,-0.0134398723938529,0.0285538340914689,5
"F1_L1",-0.00124774382590604,0.00802166684940574,6.42893732099283,-0.0196514928474258,0.00840613128004401,6
"F1_L2",0.00348561621922522,0.0073316073952436,2.10338916682952,-0.00994245736465582,0.0113389307796081,6
"F4_L2",0.000643381161079536,0.00728834163488795,11.3281862693318,-0.00625079796897627,0.0136198223225079,6
"F2_L2",0.00114265308523956,0.00459331534186428,4.01986867335267,-0.00596410371712782,0.0134613684039133,12
