"case","h","HHI_mean","HHI_sd","near_zero_mean","sigma2_u_mean"
"AR",1,0.8937,0.06,0.0618,1
"AR",3,0.541,0.0971,0.108,1
"AR",6,0.5627,0.1192,0.1536,1
"AR",12,0.8571,0.0642,0.0222,1
"Factor",1,0.9249,0.0115,0.6067,1
"Factor",3,0.9825,0.0051,0.6704,1
"Factor",6,0.9833,0.0038,0.7542,1
"Factor",12,0.987,0.0026,0.7965,1
"FAVAR",1,0.6456,0.1032,0.5136,1
"FAVAR",3,0.5011,0.0779,0.6201,1
"FAVAR",6,0.5197,0.1253,0.6491,1
"FAVAR",12,0.7882,0.0934,0.6425,1
