"var","mean","sd","cv","min","max","sign_changes"
"F2_L13",0.21192750524464,0.180684281094053,0.852575888559057,-0.327546740168458,0.329304074493929,5
"intercept",3.59409172115129,0.16054977350427,0.0446704719747222,3.18583652974734,4.17327380904833,0
"F1_L13",0.0234374681981921,0.0997224216137004,4.25482909546487,-0.144221382394792,0.137418240935314,6
"F2_L12",0.111730283399859,0.0926163010243662,0.828927468955862,-0.163896737539081,0.221158061674189,5
"F3_L13",0.0789991038928896,0.0582940074214387,0.737907198295265,-0.0774985922529241,0.170778297868295,5
"F3_L12",0.0090201711697385,0.0510420051040585,5.65865149824405,-0.0995088632194593,0.110780817994867,10
"F4_L13",0.0334736527785596,0.0506803980595628,1.51403847063934,-0.0661002137523234,0.142533135272816,7
"F1_L12",0.00715502588576549,0.0342846583966582,4.7916889392204,-0.0525266572547762,0.0480568559644412,8
"F4_L12",0.00379123246788749,0.0199759300097478,5.26898051727189,-0.095922788932801,0.0525947799541565,11
