"var","mean","sd","cv","min","max","sign_changes"
"intercept",1.34298225584686,0.351164889840043,0.261481407003851,0.949919745991426,3.30437045493413,0
"Yh_L13",0.594524763519232,0.156393560438765,0.263056427646526,0.175314204515298,0.841659440249322,0
"Yh_L12",0.0230288741217052,0.115474739470556,5.01434585383046,-0.12743158541202,0.36035511339251,13
"F1_L13",0.0225028534395809,0.0931046964025737,4.13746179579204,-0.110630191389787,0.10722966728876,6
"F1_L12",0.0248918804281815,0.0650827001783796,2.6146156521263,-0.0932161037683461,0.0839491702344939,6
"F3_L13",0.0805924981204155,0.06356083471381,0.788669369931206,-0.136961557102373,0.156618418653969,5
"F2_L12",0.0517208437504212,0.0376256115981288,0.727474821943956,-0.0704864167684585,0.0959733985269012,5
"F3_L12",0.0356618237153824,0.0302183234032497,0.847357769597614,-0.0646142913828389,0.074042089624195,5
"F4_L13",0.012571645089648,0.0238729120986347,1.89894893853571,-0.0135781379871739,0.0721021951550578,8
"F2_L13",0.0281911110387596,0.0207251057696538,0.735164560955371,-0.0309527038080717,0.0861039234218973,8
"F4_L12",-0.00531985787319475,0.0141232219312251,2.65481188931531,-0.0293555923764482,0.0262110400574631,14
