"h","var","cor_AR_FAVAR","mean_AR","mean_FAVAR"
1,"intercept",0.549610984491874,0.101655400119866,0.319118706114021
1,"Yh_L1",0.599835575746387,0.571826357673406,-0.111169806885961
1,"Yh_L2",0.868024865164074,0.0932878361928439,0.0648966180708655
3,"intercept",0.828149720354026,0.402625163333854,0.789394990616765
3,"Yh_L3",-0.0290718965314476,0.104786898867238,-0.387401750518468
3,"Yh_L4",0.631090887141536,0.465799201439005,0.52368921807539
6,"intercept",0.516759677032845,0.505218816644614,0.775432431651038
6,"Yh_L6",0.717647501157839,0.103456217706079,-0.235564914965452
6,"Yh_L7",0.698260021955947,0.625476500434035,0.800519011788581
12,"intercept",-0.063981886032897,1.11785047607781,1.34298225584686
12,"Yh_L12",0.0188953019445896,0.393010721928453,0.0230288741217052
12,"Yh_L13",0.061672098704363,0.291240488209926,0.594524763519232
