"var","mean","sd","cv","min","max","sign_changes"
"Yh_L1",0.0280122806915009,0.0493878190766713,1.76307740239287,-0.241906212689905,0.136544237872745,11
"Yh_L2",-0.0831219056000688,0.0481342063301927,0.579079678006719,-0.275714291623218,-0.0016214677260052,0
"intercept",0.3134480848017,0.0356137101677018,0.113619166600531,0.272269746319981,0.406204466357844,0
"F2_L1",0.0405582478818566,0.0310334989906449,0.765158768224982,-0.060094475224225,0.0745922180916915,5
"F1_L1",3.12032379708469e-05,0.0126713365063607,406.090435813088,-0.0173306724619232,0.0153535631542201,6
