"window","h","fc_orig","fc_fast","fc_ridge","rel_diff_pct","orig_min"
40,1,0.0907,0.0783,0.0989,15.92,0.9
40,12,0.2257,0.2049,0.2036,10.17,0.8
90,1,0.2525,0.2401,0.2502,5.21,1
90,12,0.1868,0.2258,0.2609,17.24,0.5
140,1,0.5425,0.5474,0.5723,0.9,0.6
140,12,0.3806,0.2934,0.4259,29.72,0.6
