"h","n_checks","max_abs_diff","mean_diff","consistent"
1,179,0,0,TRUE
3,177,2.19230809304785,-0.436959163316245,FALSE
6,174,4.29988316107934,-1.09625298214071,FALSE
12,168,8.13841979577958,-2.38508478101276,FALSE
