"h","mean","sd","min","max","ratio_mean_vs_h1"
1,0.217767423303077,0.262260494039839,-0.795167851901812,1.24827848358358,1
3,0.218344694694911,0.263671960598008,-0.795167851901812,1.24827848358358,1.00265086202095
6,0.217733242677289,0.2657059337286,-0.795167851901812,1.24827848358358,0.999843040684093
12,0.211572507626238,0.267936816184323,-0.795167851901812,1.24827848358358,0.971552606065338
