"case","h","HHI_mean","HHI_sd","near_zero_mean","sigma2_u_mean"
"AR",1,0.8938,0.0597,0.0648,1
"AR",3,0.4062,0.0815,0.0019,1
"AR",6,0.4077,0.1167,0.0037,1
"AR",12,0.8217,0.1674,0.1037,1
"Factor",1,0.9438,0.0075,0.2704,1
"Factor",3,0.976,0.009,0.2407,1
"Factor",6,0.9761,0.0088,0.3481,1
"Factor",12,0.9851,0.0127,0.3,1
"FAVAR",1,0.7942,0.108,0.2367,1
"FAVAR",3,0.4572,0.0858,0.1511,1
"FAVAR",6,0.6025,0.1052,0.23,1
"FAVAR",12,0.5321,0.0791,0.2311,1
