"case","h","step","n","pct_at_top","pct_at_bot","lambda_median"
"AR",1,"lambda_step1",180,68.9,0,162754.791419004
"AR",1,"lambda",180,63.9,0,162754.791419004
"AR",3,"lambda_step1",180,55,6.1,162754.791419004
"AR",3,"lambda",180,61.7,5,162754.791419004
"AR",6,"lambda_step1",180,54.4,1.7,162754.791419004
"AR",6,"lambda",180,57.2,0.6,162754.791419004
"AR",12,"lambda_step1",180,47.8,2.8,2980.95798704173
"AR",12,"lambda",180,47.2,2.2,2980.95798704173
"Factor",1,"lambda_step1",180,0,0,22026.4657948067
"Factor",1,"lambda",180,1.7,0,8103.08392757538
"Factor",3,"lambda_step1",180,76.1,1.7,162754.791419004
"Factor",3,"lambda",180,72.8,1.7,162754.791419004
"Factor",6,"lambda_step1",180,66.1,0.6,162754.791419004
"Factor",6,"lambda",180,70,1.1,162754.791419004
"Factor",12,"lambda_step1",180,68.9,1.7,162754.791419004
"Factor",12,"lambda",180,87.8,1.7,162754.791419004
"FAVAR",1,"lambda_step1",180,50,0,111314.466567101
"FAVAR",1,"lambda",180,41.1,0,59874.1417151978
"FAVAR",3,"lambda_step1",180,65.6,1.7,162754.791419004
"FAVAR",3,"lambda",180,67.2,1.1,162754.791419004
"FAVAR",6,"lambda_step1",180,65.6,0,162754.791419004
"FAVAR",6,"lambda",180,65,0,162754.791419004
"FAVAR",12,"lambda_step1",180,47.2,0,8103.08392757538
"FAVAR",12,"lambda",180,51.7,0,162754.791419004
