"h","var","cor_AR_FAVAR","mean_AR","mean_FAVAR"
1,"intercept",0.192934814682539,0.108529988218772,0.3134480848017
1,"Yh_L1",0.546062082934087,0.54184576860586,0.0280122806915009
1,"Yh_L2",0.312058669532486,0.0118740902395723,-0.0831219056000688
3,"intercept",0.488093755767376,0.169017885539435,0.290337354800898
3,"Yh_L3",0.717935247210182,0.152178797573558,-0.178865805765328
3,"Yh_L4",0.593205006022967,0.194706658486845,0.140642838097772
6,"intercept",0.529456885665908,0.171449785114228,0.255076784072485
6,"Yh_L6",0.600903628897277,0.168816245195563,-0.0722356989977585
6,"Yh_L7",0.583338564119391,0.156159391519191,0.114090278594048
12,"intercept",0.589076099110108,0.222022202699081,0.340797489188304
12,"Yh_L12",0.4110255846231,0.0620300405128433,-0.275534381492648
12,"Yh_L13",0.698695021336782,0.0667513609100621,0.018932596377306
