"var","mean","sd","cv","min","max","sign_changes"
"Yh_L12",-0.275534381492648,0.123523222619476,0.448304207809985,-0.511402363894853,0.153616272249465,8
"Yh_L13",0.018932596377306,0.0938108167891962,4.95498952809478,-0.150743175772825,0.403885940193625,20
"intercept",0.340797489188304,0.0551227324152589,0.161746298502808,0.146403400685738,0.448894932898429,0
"F2_L12",0.0263710382255279,0.0166834066921493,0.632641253995048,-0.0255891171518478,0.0484563708071767,7
"F1_L12",0.00459248551919622,0.0163453193880186,3.55914445885491,-0.0307663451358143,0.0421144454048371,6
