"h","model","RMSE","ratio_RW","flag"
1,"RF",0.205,0.8143,"best"
1,"LASSO",0.2076,0.8246,"best"
1,"Ridge",0.3201,1.2715,"worst"
3,"AdaLASSO",0.2447,0.7433,"best"
3,"CSR",0.2452,0.7448,"best"
3,"Ridge",0.4849,1.473,"worst"
6,"ElNET",0.2496,0.76,"best"
6,"LASSO",0.2498,0.7607,"best"
6,"Ridge",0.5499,1.6746,"worst"
12,"ElNET",0.2655,0.7484,"best"
12,"LASSO",0.2677,0.7546,"best"
12,"Ridge",0.5481,1.5453,"worst"
