"var","mean","sd","cv","min","max","sign_changes"
"intercept",1.72436996353638,0.0931267143036788,0.0540062262002595,1.56615369712258,2.04751237330492,0
"F2_L7",0.0969348583798077,0.0735715259694108,0.75897904220528,-0.132387369658418,0.16232234403419,5
"F1_L7",0.00731597318279667,0.0437876681954385,5.9852144207423,-0.0650120758154198,0.0578795304017506,8
"F2_L6",0.0377905150412543,0.037722646755598,0.998204092069603,-0.067464398749913,0.173530921857865,5
"F3_L7",0.041827330231276,0.0376386986823191,0.899858979146011,-0.0242645805473682,0.117161720357198,5
"F4_L7",0.0261086721266221,0.0278655907962423,1.0672925325769,-0.0322502620335388,0.076400166142895,9
"F1_L6",0.00754445414921571,0.024904589944717,3.30104596729586,-0.0345502872814197,0.0486726818876645,6
"F4_L6",0.00868101030085373,0.0136307612312254,1.57018143727866,-0.0118867977812877,0.0575977064227234,25
"F3_L6",0.00402630995604416,0.0113657602977939,2.82287266054417,-0.0247056405076256,0.0158091673393159,12
