"window","h","fc_orig","fc_fast","fc_ridge","rel_diff_pct","orig_min"
40,1,0.0963,0.0942,0.0963,2.27,0.2
40,12,1.3944,1.8012,1.3944,22.59,0.1
90,1,0.2578,0.2638,0.2578,2.29,0.1
90,12,2.5865,2.2903,2.5865,12.93,0.1
140,1,0.5801,0.5516,0.5801,5.16,0.2
140,12,6.4372,5.0438,6.4372,27.63,0.2
