"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.789394990616765,0.086820544345276,0.109983652515253,0.70219887519762,1.03454219622567,0
"Yh_L4",0.52368921807539,0.0863052021406653,0.164802327719951,0.288343965162471,0.595959259682155,0
"F2_L3",0.0671104846222106,0.0528096633304757,0.786906302759704,-0.0951618520338704,0.0965788639804195,5
"F1_L3",0.00551652275492754,0.0263820620065088,4.78237164578783,-0.0430880967974353,0.0353065704083549,6
"F2_L4",0.0297008827029212,0.0230947274184742,0.777577139692307,-0.0357078702519974,0.0673991042601017,5
"Yh_L3",-0.387401750518468,0.0211031984907442,0.0544736787133805,-0.48268468689631,-0.345095792238193,0
"F1_L4",0.00502507086704261,0.0154937500992363,3.08328986977149,-0.0212626266763275,0.0214352049264207,6
"F3_L3",-0.00966149321398198,0.00969982106140537,1.00396707285039,-0.0193122859361293,0.0188458823322627,5
"F4_L4",-0.0017912675063384,0.00753237057103984,4.20505063838122,-0.00983393248866547,0.0162753942162126,9
"F4_L3",0.00290726644075812,0.0062586152999434,2.1527491296296,-0.00763529603623098,0.0209151041253809,14
"F3_L4",0.00362826421457755,0.00336452073073434,0.927308633482768,-0.00518501012739789,0.0111280072867763,9
