"model","h1","h2","h3","h4","h5","h6","h7","h8","h9","h10","h11","h12"
"2SRR_AR",0.912,NA,0.8025,NA,NA,0.7987,NA,NA,NA,NA,NA,0.8095
"2SRR_Factor",0.9541,NA,0.8488,NA,NA,0.8065,NA,NA,NA,NA,NA,0.7482
"2SRR_FAVAR",0.9572,NA,0.9065,NA,NA,0.8226,NA,NA,NA,NA,NA,0.7791
