"case","h","step","n","pct_at_top","pct_at_bot","lambda_median"
"AR",1,"lambda_step1",178,69.7,0,162754.791419004
"AR",1,"lambda",178,64.6,0,162754.791419004
"AR",3,"lambda_step1",179,63.1,0,162754.791419004
"AR",3,"lambda",179,68.7,0,162754.791419004
"AR",6,"lambda_step1",178,74.2,0,162754.791419004
"AR",6,"lambda",178,88.2,0,162754.791419004
"AR",12,"lambda_step1",180,85.6,0.6,162754.791419004
"AR",12,"lambda",180,86.1,1.7,162754.791419004
"Factor",1,"lambda_step1",178,100,0,162754.791419004
"Factor",1,"lambda",178,77,0,162754.791419004
"Factor",3,"lambda_step1",178,100,0,162754.791419004
"Factor",3,"lambda",178,74.2,0,162754.791419004
"Factor",6,"lambda_step1",179,78.8,1.1,162754.791419004
"Factor",6,"lambda",179,77.1,0,162754.791419004
"Factor",12,"lambda_step1",178,32.6,0,59874.1417151978
"Factor",12,"lambda",178,79.8,0,162754.791419004
"FAVAR",1,"lambda_step1",177,80.2,0,162754.791419004
"FAVAR",1,"lambda",177,74,0,162754.791419004
"FAVAR",3,"lambda_step1",179,84.4,0,162754.791419004
"FAVAR",3,"lambda",179,72.6,0,162754.791419004
"FAVAR",6,"lambda_step1",178,78.1,0,162754.791419004
"FAVAR",6,"lambda",178,88.2,0,162754.791419004
"FAVAR",12,"lambda_step1",179,79.3,0,162754.791419004
"FAVAR",12,"lambda",179,89.4,0,162754.791419004
