"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.841203447754512,0.0751413459454345,0.0893260080495568,0.766344253157658,1.17191823049287,0
"Yh_L4",0.397577403194045,0.0490762984220261,0.123438349432736,0.127965747941212,0.446706721066004,0
"F2_L3",0.0584005717035477,0.0431853640970039,0.739468173637425,-0.079882466155955,0.079555473876705,5
"Yh_L3",-0.430385044623413,0.0407941392479506,0.0947852156053552,-0.472647152190369,-0.188466602389011,0
"F1_L3",0.00530938659256037,0.0244516577819706,4.60536398239165,-0.0367174767643394,0.031042613408338,6
"F2_L4",0.0263596864756858,0.0219556414763169,0.832924985529277,-0.0471755953859957,0.0660663602855819,5
"F1_L4",0.00465135614466899,0.0149773443330477,3.21999517285159,-0.0249045012627615,0.0194421695425036,6
"F3_L3",-0.00912983525540154,0.00927613087306852,1.01602390553328,-0.018736887705425,0.0185214324900524,9
"F4_L3",0.00452462043685364,0.00728197041014305,1.60941022827692,-0.0277440095864471,0.0214546834428206,7
"F4_L4",0.000819877387154683,0.00689626131187585,8.41133249912984,-0.0169285610035913,0.0351278232865733,17
"F3_L4",0.00111991399126025,0.00283030156418835,2.52724904436936,-0.0126359261840839,0.00860429249851746,21
