"var","mean","sd","cv","min","max","sign_changes"
"intercept",0.922137538989744,0.147234299109821,0.159666311026797,0.810099016826633,1.48094324440668,0
"Yh_L7",0.613108240702509,0.114773484833521,0.187199383753205,0.1461642966369,0.758167309101528,0
"Yh_L6",-0.256447207768562,0.0999672435188941,0.389816073213448,-0.346938681672221,0.277640303700404,4
"F2_L6",0.0403172171679072,0.0372799809597369,0.924666521612311,-0.0695989854563334,0.0652993317729785,9
"F1_L6",0.0131540183212931,0.0331818572634935,2.52256431859916,-0.0453545180525616,0.043040941338514,10
"F1_L7",0.00539399642306731,0.023041814775564,4.27175195686563,-0.0288028688911574,0.0280377387506319,8
"F4_L7",0.00563540511597038,0.0189158878010182,3.35661543611332,-0.00840010970318781,0.0644955154266057,6
"F3_L7",0.0264052753731705,0.0188270288878371,0.713002558078472,-0.0218923789665675,0.0649810765794531,5
"F2_L7",0.00924550686023694,0.017436374888362,1.88592958200619,-0.00545322156183823,0.0682674800492542,14
"F3_L6",-0.00123445367563091,0.0112983497320101,9.15251009823086,-0.0633383373717718,0.0119486379439594,15
"F4_L6",-0.00147171997038399,0.00896903414004636,6.09425320069975,-0.010858545360123,0.0287081109362996,9
